ausdrücke,Na alles klar bei dir?,Na minden oké nálad?,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Na alles rund?,Minden rendben?,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Was geht ab?,Mi újság? (nagyon laza),<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Was liegt an?,Mi a helyzet?,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Mach's gut!,Vigyázz magadra!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Bis gleich!,Mindjárt találkozunk!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Hau ab!,Csáó lépj le! (nagyon laza),<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Schieb ab!,Húzz el!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Krass!,Durva! (meglepő),<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Echt jetzt?,Most tényleg ? | Komolyan?,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Das nervt mich total!,Ez rohadtul idegesít!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Mega geil!,Szuper király!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Ich habe keinen Bock,Nincs kedvem,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Tippitoppi!,Tökéletes szuper!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Du packst das!,Meg tudod csinálni!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Rate mal!,Találd ki!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Mach dir keinen Kopf!,Ne aggódj!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Das ist nicht dein Ernst!,Ezt nem mondod komolyan!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,So ein Schmarrn!,Micsoda hülyeség!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Versteh mich nicht falsch!,Ne érts félre!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Komm schwing dich!,Gyere mozogj már!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Schieß los!,Mondjad rajta! Ki vele!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Lenk nicht vom Thema ab!,Ne tereld el a témát!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Ehrenwort!,Becsületszavamra!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Spuck's raus!,Mondd már! Nyögd már ki!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
ausdrücke,Schwamm drüber!,Felejtsük el!,<img src="https://felisha76.github.io/portfolio/media/dictionaryMedia/no_picture_yet.jpg"><br>
